,0
درخواست فارغ التحصیلی دانشجویان,127
درخواست انتخاب واحد- حذف و اضافه خارج از زمان,88
درخواست گواهی اشتغال  به تحصیل,49
درخواست اخذ مجوز پیش دفاع,27
درخواست معرفی به استاد,21
درخواست صدور کارت دانشجویی,17
درخواست اخذ کد پایان نامه برای دانشجویان کارشناسی ارشد و دکتری,14
درخواست مدرک تحصیلی,5
درخواست مهمانی و انتقال,5
درخواست کد اخلاق برای دانشجویان پزشکی  پرستاری,5
درخواست معادلسازی دروس,5
درخواست فرم امادگی دفاع,4
از من بپرس (اخذ راهنمایی اداری),4
درخواست ریز نمرات داخل کشور,4
درخواست تائید مراحل واریز هزینه فارغ التحصیلی از طریق سامانه آموزشیار,4
درخواست تاییدیه ممتازی,4
درخواست مرخصی تحصیلی,3
بررسی دروس توسط کارشناس برای امضا فرم آمادگی دفاع,3
درخواست تائیدیه تحصیلی,3
درخواست اخذ وام دانشجویی,3
درخواست کد اخلاق,3
در خواست ارسال و دریافت نمرات مهمانی,3
درخواست تخفیف شهریه ( چند دانشجویی),2
درخواستهای مربوط به دانشجویان نمونه,2
درخواست همیار دانشجو ( کاردانشجویی),2
درخواست انصراف از تحصیل,2
درخواست ارسال پرونده دانشجویان انتقالی به واحد دیگر,2
درخواست مجوز برای اخذ دروس در ترم آخر را دارم,2
درخواست فرم آمادگی دفاع,2
درخواست افزایش سنوات تحصیلی,2
ثبت و پیگیری انتقاد و پیشنهاد,2
درخواست مجدد کد اخلاق,2
درخواست انتخاب واحد ازمون جامع دکتری,2
درخواست اینترنت دانشجویی,2
درخواست برگزاری جشن های روزهای خاص,2
درخواست گواهی انشایی,1
درخواست کارت دانشجویی,1
دانشگاه ازاد اسلامی یزد زبان ترکیبی۱  گفته بودن اگه ۵دقیقه قبل ازمون هم وارد بشین ۳۰دقیقه بهتون وقت میده ما ۱و۲۵دقیقه وارد شدیم ۵دقیقه سایت بهم وقت داد درصورتی ک گفته بودن ۳۰دقیقه وقت میده,1
حذف اضطراری,1
درخواست گواهی اشتغال  به تحصیل به تامین اجتماعی,1
پایانترم کی هست؟,1
ایجاد تغییرات بدون دلیل در کارنامه,1
اینجانب مینا معتمدی، دانشجوی کارشناسی  حقوق پیوسته با شماره دانشجویی 39910520803252، در ترم آخر نیازمند گذراندن دروس آیین زندگی اخلاق و تاریخ امامت هستم. با توجه به تکمیل ظرفیت، تقاضا دارم امکان اخذ این دروس برایم فراهم گردد. کمال تشکر و قدرانی را دارم.,1
درخواست خلاصه وضعیت تحصیلی,1
امتحانات مجازی ترم بهمن,1
درخواست ترم اخری,1
اینجانبه بهناز اسماعیلی به شماره کدهای ۱۷۷۱۷۳۱۸۲۵۱۸۴۲۷ و ۱۷۷۱۷۴۳۳۶۶۲۴۰۲۸۱ به علت حضور نداشتن در ارزشیابی پایان ترم و پر کردن فرم ، درخواست حضور در ارزشیابی را دارم.,1
به من مجوز انتخاب واحد داده نمی‌شود,1
مرحله ۱۰ پژوهشیار,1
اخذ کد اخلاق,1
درخواست مددکاری,1
درخواست لیست دورس,1
لیست دروس مهمانی,1
بررسی کد اخلاق,1
درخواست اخذ دروس عمومی در ترم آخر را دارم,1
درخواست اخذ کداخلاق برای رشته های غیر پزشکی را دارم,1
فارغ تحصیلی,1
مجوز انتخاب واحد بیش از 20 واحد,1
درخواست بیش از 20 واحد برای انتخاب واحد,1
درخواست مجوز انتخاب واحد بیش از 20 واحد با توجه به معدل بالا,1
درخواست گواهی اشتغال  به تحصیل و ریز نمرات,1
تایید مراحل پایان نامه در پژوهشیار توسط آقای مختاری,1
مرحله ۹ تایید استادراهنما و مشاور,1
انتشارات,1
درخواست برگشت شهریه ثابت پیرو بخشنامه تقسیم شهریه بین واحد مبدا و مقصد,1
درخواست مجوز انتخاب واحد,1
سلام. ترم آخر هستم و ۲۱ واحد دارم. ۳ واحد مهمانی در ترم تحصیل همزمان گرفتم با ماده ۵۵ برای اشکذر و الان میخوام دروس معارف بردارم مجوز انتخاب واحد بهم نمیده,1
